name,title,capacity,section
lalbagh,Lalbagh TTP 1.5 MLD,1.5 MLD,arkavathi
ulsoor,Ulsoor STP 2MLD,2MLD,arkavathi
agaram,Agaram STP 35MLD,35MLD,arkavathi
cubbon-park,Cubbon Park TTP 4MLD,4MLD,arkavathi
v-valley,V.Valley TTP 60 MLD,60 MLD,arkavathi
bellandur,BELLANDUR 90 MLD,90 MLD,arkavathi
chikkabanavara,CHIKKABANAVARA 5 MLD,5 MLD,arkavathi
challagatta-valley-218-mld,Challagatta Valley 218 MLD,218 MLD,arkavathi
challagatta-valley-30-mld,Challagatta Valley 30 MLD,30 MLD,arkavathi
chikka-bagur,Chikka Bagur  STP 5 MLD,5 MLD,arkavathi
doddabele,DODDABELE 20 MLD,20 MLD,arkavathi
horamavu,HORAMAVU 20 MLD,20 MLD,arkavathi
k-and-c-valley,K AND C VALLEY 60 MLD,60 MLD,arkavathi
kadabeesanahalli,KADABEESANAHALLI 50 MLD,50 MLD,arkavathi
kadugodi,KADUGODI  STP 6 MLD,6 MLD,arkavathi
kr-puram,KR Puram STP 20 MLD,20 MLD,arkavathi
kempambudhi,Kempambudhi STP 1 MLD,1 MLD,arkavathi
mallathalli,MALLATHALLI 5 MLD,5 MLD,arkavathi
mailasandra,Mailasandra STP 75 MLD,75 MLD,arkavathi
nagasandra,NAGASANDRA 20 MLD,20 MLD,arkavathi
nagasandra-old,NAGASANDRA OLD 20 MLD,20 MLD,arkavathi
rajacanal,RAJACANAL 40 MLD,40 MLD,arkavathi
sarakki,STP Sarakki 5 MLD,5 MLD,arkavathi
yellamalapachetty,YELLAMALAPACHETTY 15 MLD,15 MLD,arkavathi
